Month,Age,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Customer_ID_Number,Binary_credit_mix,Binary_Credit_Score,Credit_History_Age_by_year,No Loan,Auto Loan,Credit-Builder Loan,Debt Consolidation Loan,Home Equity Loan,Mortgage Loan,Not Specified,Payday Loan,Personal Loan,Student Loan
1,36.0,6.0,25546.26,8.0,7.0,14.0,5.0,16.0,14.0,7.83,5.0,758.44,37.42,0,101.33,53.1,2,337.15,13,1,0,18,0,1,1,0,0,0,1,0,0,1
3,37.0,6.0,25546.26,8.0,7.0,14.0,5.0,16.0,10.0,7.83,5.0,758.44,25.41,2,101.33,91.22,4,319.04,13,1,0,18,0,1,1,0,0,0,1,0,0,1
7,37.0,6.0,25546.26,8.0,7.0,14.0,5.0,16.0,14.0,10.83,5.0,758.44,30.1,2,101.33,130.3,6,299.96,13,1,0,18,0,1,1,0,0,0,1,0,0,1
8,37.0,6.0,25546.26,8.0,7.0,14.0,5.0,15.0,13.0,7.83,5.0,758.44,39.33,2,101.33,189.82,5,230.44,13,1,0,18,0,1,1,0,0,0,1,0,0,1
1,30.0,13.0,31993.78,6.0,6.0,7.0,2.0,8.0,14.0,6.28,0.0,818.22,25.37,2,45.14,82.0,5,447.07,14,1,0,16,0,0,0,0,1,0,0,1,0,0
2,30.0,13.0,31993.78,6.0,6.0,7.0,2.0,12.0,14.0,6.28,0.0,818.22,37.96,2,45.14,183.8098859794259,6,157.87,14,1,0,16,0,0,0,0,1,0,0,1,0,0
3,30.0,13.0,31993.78,6.0,6.0,7.0,2.0,8.0,14.0,10.28,1.0,818.22,27.38,2,45.14,264.26,6,274.82,14,1,0,17,0,0,0,0,1,0,0,1,0,0
5,30.0,13.0,31993.78,6.0,6.0,7.0,2.0,8.0,14.0,6.28,1.0,818.22,30.79,2,45.14,43.47,2,455.6,14,1,0,17,0,0,0,0,1,0,0,1,0,0
8,31.0,13.0,31993.78,6.0,6.0,7.0,2.0,8.0,16.0,6.28,1.0,818.22,36.01,2,45.14,97.59,4,421.49,14,1,0,17,0,0,0,0,1,0,0,1,0,0
1,45.0,14.0,32284.62,6.0,7.0,17.0,6.0,11.0,12.0,9.22,8.0,1283.37,28.94,2,103.04,254.86,5,211.94,15,1,0,6,0,0,1,0,0,1,1,1,1,0
2,46.0,14.0,32284.62,6.0,7.0,17.0,6.0,11.0,12.0,9.22,8.0,1283.37,27.86,2,103.04,103.21,4,353.59,15,1,0,6,0,0,1,0,0,1,1,1,1,0
3,46.0,14.0,32284.62,6.0,7.0,17.0,6.0,10.0,12.0,9.22,8.0,1283.37,27.88,2,103.04,35.79,1,391.01,15,1,0,6,0,0,1,0,0,1,1,1,1,0
4,46.0,14.0,32284.62,6.0,7.0,17.0,6.0,11.0,12.0,9.22,8.0,1283.37,38.39,2,103.04,280.22,6,196.58,15,1,0,6,0,0,1,0,0,1,1,1,1,0
6,46.0,14.0,32284.62,6.0,7.0,17.0,6.0,11.0,12.0,8.22,10.0,1283.37,26.87,2,103.04,272.27,6,204.53,15,1,0,6,0,0,1,0,0,1,1,1,1,0
8,46.0,14.0,32284.62,6.0,7.0,17.0,6.0,13.0,12.0,2.22,10.0,1283.37,27.93,2,103.04,359.77,6,117.03,15,1,0,7,0,0,1,0,0,1,1,1,1,0
2,31.0,6.0,19300.34,6.0,7.0,17.0,5.0,51.0,18.0,9.95,7.0,2430.21,36.64,0,49.57,55.3,3,306.37,16,2,0,18,0,1,0,1,0,1,1,1,0,0
4,31.0,6.0,19300.34,6.0,7.0,17.0,5.0,51.0,19.0,9.95,7.0,2430.21,28.87,2,49.57,61.43,3,300.24,16,2,0,18,0,1,0,1,0,1,1,1,0,0
8,32.0,6.0,19300.34,6.0,7.0,17.0,5.0,53.0,19.0,9.95,8.0,2430.21,23.71,2,49.57,118.19,5,263.48,16,2,0,18,0,1,0,1,0,1,1,1,0,0
2,41.0,11.0,10183.02,7.0,5.0,17.0,5.0,48.0,18.0,7.97,6.0,1672.43,32.39,0,37.59,92.36,6,267.51,17,2,0,10,0,0,1,0,0,1,0,0,0,1
3,41.0,11.0,10183.02,7.0,5.0,17.0,5.0,48.0,23.0,7.97,6.0,1672.43,23.73,2,37.59,91.88,6,267.99,17,2,0,10,0,0,1,0,0,1,0,0,0,1
6,42.0,11.0,10183.02,7.0,5.0,17.0,5.0,48.0,24.0,10.97,1050.0,1672.43,25.11,2,37.59,73.9,6,285.97,17,2,0,10,0,0,1,0,0,1,0,0,0,1
8,42.0,11.0,10183.02,7.0,5.0,17.0,5.0,48.0,21.0,7.97,6.0,1672.43,36.84,2,37.59,71.12,6,288.75,17,2,0,10,0,0,1,0,0,1,0,0,0,1
5,32.0,8.0,12600.44,5.0,5.0,10.0,3.0,20.0,19.0,15.79,7.0,569.8,37.24,2,26.06,41.08,6,301.06,18,1,0,12,0,0,0,0,0,0,1,0,0,1
6,32.0,8.0,12600.44,5.0,5.0,10.0,3.0,25.0,19.0,15.79,7.0,569.8,36.53,2,26.06,48.01,6,294.14,18,1,0,12,0,0,0,0,0,0,1,0,0,1
5,34.0,10.0,57983.12,9.0,8.0,31.0,8.0,48.0,21.0,10.27,17.0,3532.83,37.28,2,200.43,205.25,6,356.41,19,2,0,12,0,0,1,1,0,0,1,1,0,1
7,34.0,10.0,57983.12,9.0,8.0,31.0,8.0,49.0,21.0,7.27,1936.0,3532.83,24.63,2,200.43,234.73,5,316.93,19,2,0,12,0,0,1,1,0,0,1,1,0,1
1,48.0,6.0,20787.69,8.0,6.0,14.0,3.0,22.0,14.0,1.13,3.0,614.6,23.72,1,42.22,183.8098859794259,6,253.33,20,1,0,17,0,0,1,0,1,0,0,0,0,0
1,30.0,15.0,34290.12,9.0,8.0,25.0,7.0,52.0,10.0,17.96,9.0,2686.81,39.28,0,185.11,248.07,4,106.57,21,1,0,13,0,1,1,1,1,1,0,0,0,0
2,32.0,1.0,43070.24,3.0,3.0,18.0,1.0,13.0,8.0,14.97,4.0,1233.1,28.07,2,30.58,443.92,6,177.72,22,1,0,19,0,0,0,1,0,0,0,0,0,0
3,32.0,1.0,43070.24,3.0,3.0,18.0,1.0,15.0,8.0,12.97,4.0,1233.1,28.36,2,30.58,50.51,1,521.13,22,1,0,19,0,0,0,1,0,0,0,0,0,0
4,32.0,1.0,43070.24,3.0,3.0,18.0,1.0,11.0,8.0,8.97,4.0,1233.1,24.33,2,30.58,74.92,2,506.72,22,1,0,19,0,0,0,1,0,0,0,0,0,0
5,32.0,1.0,43070.24,3.0,3.0,18.0,1.0,10.0,8.0,8.97,8.0,1233.1,26.45,2,30.58,178.1,4,423.55,22,1,0,19,0,0,0,1,0,0,0,0,0,0
6,32.0,1.0,43070.24,3.0,3.0,18.0,1.0,8.0,8.0,4.97,8.0,1233.1,39.07,2,30.58,41.33,1,530.31,22,1,0,19,0,0,0,1,0,0,0,0,0,0
7,32.0,1.0,43070.24,3.0,3.0,18.0,1.0,11.0,8.0,8.97,8.0,1233.1,34.72,2,30.58,108.62,4,493.02,22,1,0,19,0,0,0,1,0,0,0,0,0,0
3,40.0,2.0,28572.39,6.0,3.0,15.0,3.0,28.0,10.0,4.89,0.0,400.07,29.32,2,69.6,53.48,2,347.92,23,1,0,30,0,1,0,0,0,0,1,1,0,0
8,40.0,2.0,6515990.0,6.0,3.0,15.0,3.0,25.0,12.0,4.89,2.0,400.07,23.18,2,69.6,51.83,1,339.57,23,1,0,30,0,1,0,0,0,0,1,1,0,0
3,37.0,9.0,39641.54,10.0,8.0,25.0,6.0,61.0,15.0,1.54,568.0,2258.73,27.57,2,172.38,198.04,3,190.32,24,2,0,8,0,1,0,1,0,1,0,1,0,1
8,38.0,9.0,39641.54,10.0,8.0,25.0,6.0,61.0,13.0,-2.46,8.0,2258.73,34.85,2,172.38,149.27,4,249.1,24,2,0,9,0,1,0,1,0,1,0,1,0,1
3,55.0,13.0,20186.02,1.0,5.0,1.0,2.0,4.0,3.0,6.83,4.0,413.32,31.86,1,29.53,26.29,2,362.59,25,0,1,18,0,1,0,0,1,0,0,0,0,0
7,55.0,13.0,20186.02,1.0,5.0,1.0,2.0,5.0,6.0,6.83,4.0,413.32,36.06,1,5994.0,121.77,6,307.12,25,0,0,18,0,1,0,0,1,0,0,0,0,0
4,43.0,12.0,18627.64,7.0,7.0,19.0,6.0,31.0,22.0,5.07,7.0,1793.54,35.92,2,65.14,75.79,5,277.8,26,2,0,19,0,0,1,0,0,0,1,1,0,1
6,43.0,12.0,18627.64,7.0,7.0,19.0,6.0,31.0,21.0,6.07,7.0,1793.54,35.71,2,65.14,109.59,5,244.0,26,2,0,19,0,0,1,0,0,0,1,1,0,1
8,44.0,12.0,18627.64,7.0,7.0,19.0,6.0,31.0,18.0,5.07,7.0,1793.54,38.79,2,65.14,98.8,6,264.79,26,2,0,19,0,0,1,0,0,0,1,1,0,1
2,21.0,5.0,12986.74,4.0,3.0,10.0,2.0,29.0,17.0,11.8,7.0,1489.49,24.61,2,16.72,44.19,5,315.01,27,1,0,8,0,0,0,0,0,1,0,1,0,0
3,21.0,5.0,12986.74,4.0,3.0,10.0,2.0,30.0,20.0,11.8,7.0,1489.49,26.15,2,16.72,47.27,5,311.94,27,1,0,8,0,0,0,0,0,1,0,1,0,0
4,21.0,5.0,12986.74,4.0,3.0,10.0,2.0,30.0,15.0,11.8,7.0,1489.49,31.78,2,16.72,76.36,4,272.85,27,1,0,8,0,0,0,0,0,1,0,1,0,0
5,22.0,5.0,12986.74,4.0,3.0,10.0,2.0,30.0,18.0,16.8,7.0,1489.49,37.66,2,16.72,72.35,6,296.86,27,1,0,9,0,0,0,0,0,1,0,1,0,0
8,22.0,5.0,12986.74,4.0,3.0,10.0,2.0,28.0,17.0,11.8,7.0,1489.49,32.26,2,16.72,91.83,6,277.37,27,1,0,9,0,0,0,0,0,1,0,1,0,0
2,43.0,15.0,58317.0,8.0,5.0,9.0,6.0,18.0,20.0,16.58,6.0,98.97,27.81,2,149.9,83.3,2,483.28,28,1,0,13,0,0,0,0,1,1,0,0,1,0
7,44.0,15.0,58317.0,8.0,5.0,9.0,6.0,18.0,20.0,21.58,10.0,98.97,28.26,2,149.9,380.59,5,215.99,28,1,0,13,0,0,0,0,1,1,0,0,1,0
2,36.0,13.0,42171.98,2.0,7.0,10.0,3.0,4.0,8.0,2.58,4.0,556.91,26.99,1,102.76,136.98,6,426.69,29,0,0,21,0,1,0,0,0,0,1,0,0,0
2,36.0,9.0,71681.4,3.0,6.0,15.0,1.0,8.0,6.0,10.44,0.0,1293.02,29.68,2,53.92,137.33,2,638.69,30,1,0,25,0,0,0,0,0,0,1,0,0,0
3,36.0,9.0,71681.4,3.0,6.0,15.0,1.0,8.0,10.0,10.44,0.0,1293.02,29.37,2,53.92,253.32,6,562.7,30,1,0,25,0,0,0,0,0,0,1,0,0,0
4,36.0,9.0,71681.4,3.0,6.0,15.0,1.0,4.0,8.0,10.44,0.0,1293.02,33.04,2,53.92,120.89,1,645.13,30,1,1,25,0,0,0,0,0,0,1,0,0,0
6,36.0,9.0,71681.4,3.0,6.0,15.0,1.0,5.0,6.0,10.44,0.0,1293.02,34.98,2,53.92,414.9,5,391.12,30,1,1,26,0,0,0,0,0,0,1,0,0,0
1,19.0,5.0,72559.36,4.0,5.0,17.0,4.0,14.0,21.0,2.74,1.0,1173.7,23.28,1,215.84,565.74,4,116.88,32,1,0,27,0,0,1,0,1,1,0,1,0,0
5,20.0,5.0,72559.36,4.0,5.0,17.0,4.0,14.0,21.0,2.74,1.0,1173.7,32.83,1,215.84,117.31,1,535.31,32,1,0,28,0,0,1,0,1,1,0,1,0,0
7,20.0,5.0,72559.36,4.0,5.0,17.0,4.0,14.0,19.0,2.74,1.0,1173.7,33.17,1,215.84,82.5,2,580.13,32,1,0,28,0,0,1,0,1,1,0,1,0,0
8,20.0,5.0,72559.36,4.0,5.0,17.0,4.0,15.0,19.0,-1.26,5.0,1173.7,38.17,1,215.84,105.72,2,556.9,32,1,0,28,0,0,1,0,1,1,0,1,0,0
1,36.0,12.0,15566.02,8.0,5.0,32.0,4.0,16.0,1338.0,9.24,7.0,1693.95,37.41,2,43.07,65.99,6,323.26,33,1,0,7,0,0,1,0,1,1,0,0,1,0
2,36.0,12.0,15566.02,8.0,5.0,32.0,4.0,17.0,20.0,9.24,7.0,1693.95,24.25,2,43.07,169.62,6,219.63,33,1,0,7,0,0,1,0,1,1,0,0,1,0
1,18.0,3.0,66567.32,5.0,7.0,5.0,2.0,7.0,15.0,7.67,1618.0,233.79,34.46,1,37602.0,251.65,6,518.19,34,1,0,24,0,0,0,0,0,1,1,0,0,0
6,19.0,3.0,66567.32,5.0,7.0,5.0,2.0,7.0,15.0,5.67,0.0,233.79,28.11,1,100.19,66.78,2,663.06,34,1,0,24,0,0,0,0,0,1,1,0,0,0
4,33.0,1.0,30788.44,7.0,9.0,31.0,6.0,49.0,20.0,21.73,9.0,3470.08,27.68,2,114.53,97.31,6,340.52,35,2,0,1,0,0,1,0,1,0,0,1,1,0
6,33.0,1.0,30788.44,7.0,9.0,31.0,6.0,45.0,21.0,21.73,9.0,3470.08,35.46,2,114.53,72.98,3,334.85,35,2,0,1,0,0,1,0,1,0,0,1,1,0
6,42.0,2.0,20574.47,6.0,3.0,14.0,4.0,6.0,10.0,6.74,11.0,749.95,37.55,2,49.35,192.37,6,222.33,36,1,0,11,0,0,1,0,1,0,0,0,1,0
7,42.0,2.0,20574.47,6.0,3.0,14.0,4.0,1.0,7.0,13.74,11.0,749.95,38.34,2,49.35,119.27,4,275.43,36,1,0,11,0,0,1,0,1,0,0,0,1,0
1,21.0,8.0,148699.32,3.0,4.0,748.0,3.0,13.0,8.0,9.2,1.0,949.38,41.69,1,364.92,296.15,1,822.19,37,0,1,30,0,0,0,0,0,1,0,1,1,0
6,22.0,8.0,148699.32,3.0,4.0,5.0,3.0,13.0,6.0,9.2,1.0,949.38,26.72,1,364.92,861.12,3,277.23,37,0,1,31,0,0,0,0,0,1,0,1,1,0
8,22.0,8.0,148699.32,3.0,4.0,5.0,3.0,16.0,8.0,9.2,1.0,949.38,40.61,1,364.92,328.91,2,799.44,37,0,1,31,0,0,0,0,0,1,0,1,1,0
4,27.0,2.0,14165.23,7.0,10.0,33.0,9.0,59.0,24.0,8.82,11.0,2797.17,31.88,2,58.87,95.67,6,241.2,39,2,0,14,0,0,1,0,0,1,0,1,1,1
5,27.0,2.0,14165.23,7.0,10.0,33.0,9.0,59.0,24.0,8.82,11.0,2797.17,27.64,2,58.87,105.76,5,221.12,39,2,0,14,0,0,1,0,0,1,0,1,1,1
6,27.0,2.0,14165.23,7.0,10.0,33.0,9.0,55.0,24.0,8.82,11.0,2797.17,30.73,2,58.87,53.86,6,283.02,39,2,0,14,0,0,1,0,0,1,0,1,1,1
7,27.0,2.0,14165.23,7.0,10.0,33.0,9.0,59.0,24.0,8.82,11.0,2797.17,32.47,2,58.87,45.63,5,281.25,39,2,0,14,0,0,1,0,0,1,0,1,1,1
5,30.0,14.0,87215.68,2.0,6.0,8.0,2.0,2.0,5.0,10.98,0.0,680.77,33.96,1,121.68,799.37,6,117.94,40,0,1,21,0,1,0,0,0,0,0,1,0,0
7,30.0,14.0,87215.68,2.0,6.0,8.0,2.0,2.0,5.0,10.98,0.0,680.77,30.48,1,121.68,169.11,1,698.2,40,0,1,21,0,1,0,0,0,0,0,1,0,0
8,30.0,14.0,87215.68,2.0,6.0,8.0,2.0,2.0,8.0,10.98,0.0,680.77,35.62,0,19734.0,304.2,2,573.11,40,0,1,21,0,1,0,0,0,0,0,1,0,0
3,43.0,8.0,81842.28,10.0,9.0,25.0,9.0,20.0,19.0,16.25,9.0,3053.16,24.07,2,574.07,192.47,3,174.48,41,2,0,0,0,1,1,0,1,0,0,1,1,1
6,43.0,8.0,81842.28,10.0,9.0,25.0,9.0,20.0,19.0,16.25,11.0,3053.16,28.64,2,574.07,165.07,1,181.88,41,2,0,0,0,1,1,0,1,0,0,1,1,1
2,38.0,4.0,95956.5,8.0,4.0,11.0,2.0,23.0,10.0,11.94,2.0,1079.73,35.74,0,95.52,265.31,2,717.1,42,1,0,31,0,0,0,0,0,0,0,0,1,1
5,38.0,4.0,95956.5,8.0,4.0,11.0,2.0,22.0,13.0,11.94,2.0,1079.73,37.21,1,95.52,517.8,3,474.61,42,1,0,31,0,0,0,0,0,0,0,0,1,1
7,38.0,4.0,95956.5,8.0,4.0,11.0,2.0,23.0,10.0,11.94,2.0,1079.73,28.32,0,95.52,777.6,5,234.81,42,1,1,32,0,0,0,0,0,0,0,0,1,1
3,26.0,9.0,49967.01,7.0,6.0,31.0,6.0,27.0,11.0,19.87,11.0,2253.95,38.58,2,156.0,80.28,2,422.91,43,1,0,17,0,1,0,1,0,0,1,1,0,1
4,26.0,9.0,49967.01,7.0,6.0,31.0,6.0,27.0,11.0,19.87,11.0,2253.95,22.84,2,156.0,373.17,5,160.02,43,1,0,17,0,1,0,1,0,0,1,1,0,1
8,26.0,9.0,49967.01,6.0,5.0,31.0,6.0,27.0,11.0,19.87,12.0,2253.95,31.52,2,156.0,116.36,2,386.83,43,1,0,17,0,1,0,1,0,0,1,1,0,1
1,43.0,3.0,14129.76,8.0,5.0,21.0,8.0,62.0,17.0,5.51,6.0,4071.62,36.14,2,81.71,124.45,6,185.09,45,2,0,12,0,0,0,1,0,1,1,1,1,1
8,44.0,3.0,14129.76,8.0,5.0,21.0,8.0,62.0,18.0,5.51,6.0,4071.62,35.67,0,70.98,33.38,2,236.16,45,2,0,13,0,0,0,1,0,1,1,1,1,1
2,36.0,15.0,17251.38,6.0,3.0,7.0,7.0,8.0,15.0,15.06,6.0,2431.64,37.23,0,57.35,26.6,1,321.51,46,1,0,11,0,0,0,0,1,1,1,0,1,1
3,37.0,15.0,17251.38,6.0,3.0,7.0,7.0,5.0,12.0,15.06,6.0,2431.64,27.6,2,57.35,132.44,4,245.67,46,1,0,11,0,0,0,0,1,1,1,0,1,1
6,37.0,15.0,17251.38,6.0,3.0,7.0,7.0,5.0,15.0,15.06,10.0,2431.64,32.71,2,57.35,54.08,5,334.03,46,1,0,11,0,0,0,0,1,1,1,0,1,1
2,22.0,6.0,36822.29,8.0,7.0,6.0,4.0,14.0,19.0,5.79,4.0,125.25,23.34,1,95.8,259.79,4,227.66,47,1,0,24,0,0,1,0,1,0,1,0,1,0
4,23.0,6.0,36822.29,8.0,7.0,6.0,4.0,14.0,19.0,5.79,5.0,125.25,35.08,1,95.8,73.93,1,383.52,47,1,1,24,0,0,1,0,1,0,1,0,1,0
