Month,Age,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Customer_ID_Number,Binary_credit_mix,Credit_History_Age_by_year,No Loan,Auto Loan,Credit-Builder Loan,Debt Consolidation Loan,Home Equity Loan,Mortgage Loan,Not Specified,Payday Loan,Personal Loan,Student Loan
3,55.0,14.0,126004.2,5,3,19,4.0,24,0.0,7.72,2.0,932.17,31.3,2,355.64,467.56,5,492.54,7607,0,26.0,0,1,0,0,0,0,0,1,0,0
3,29.0,4.0,89190.57,3,4,19,3.0,21,10.0,2.18,0.0,1427.36,37.15,2,165.48,86.02,2,712.05,2967,0,26.0,0,0,1,0,0,0,1,0,0,0
4,49.0,7.0,18407.68,4,3,4,4.0,14,7.0,13.99,4.0,1199.21,38.57,1,36.33,84.91,3,307.36,1090,1,17.0,0,0,1,0,1,0,0,0,1,1
3,24.0,14.0,46422.1,8,6,9,2.0,18,12.0,3.5,4.0,832.68,26.15,1,66.49,170.61,2,421.45,5147,0,23.0,0,0,0,0,0,0,0,1,1,0
2,31.0,12.0,66999.96,10,9,27,7.0,18,26.0,4.72,13.0,1619.22,30.7,2,357.41,605.52,6,,2042,0,12.0,0,0,0,1,1,1,1,0,0,1
4,34.0,8.0,31049.54,9,10,32,6.0,49,9.0,16.91,10.0,1924.07,23.61,2,145.14,0.0,2,266.32,8900,0,16.0,0,1,0,0,1,1,1,0,0,1
1,27.0,1.0,30093.32,2,4,11,1.0,2,3.0,8.94,0.0,22.88,39.23,1,150.43,0.0,3,329.47,3067,1,26.0,0,0,0,0,0,0,0,0,1,0
1,27.0,13.0,22147.1,0,4,4,1.0,7,0.0,10.09,7.0,947.58,34.83,1,9.83,129.94,6,344.09,6321,1,20.0,0,0,0,0,0,0,0,0,0,1
4,31.0,15.0,76804.72,9,9,16,8.0,20,23.0,26.93,13.0,4811.23,23.13,2,774.45,216.41,2,411.83,4607,0,1.0,0,0,1,0,0,1,1,1,1,1
4,52.0,14.0,143853.08,8,5,6,0.0,17,10.0,7.76,3.0,782.93,33.3,1,0.0,416.42,2,1011.15,10638,0,18.0,1,0,0,0,0,0,0,0,0,0
4,40.0,14.0,7314.68,10,7,29,7.0,62,23.0,6.89,11.0,2169.86,25.66,0,25.16,24.97,5,261.83,5178,0,19.0,0,1,0,1,1,0,0,0,1,1
2,23.0,15.0,114755.04,1,5,9,2.0,5,3.0,6.38,,1107.42,40.45,1,677.38,802.91,4,312.51,3142,1,25.0,0,0,0,1,0,0,0,1,0,0
2,24.0,1.0,27138.97,6,4,8,4.0,7,17.0,8.01,9.0,1190.67,27.95,2,70.78,150.06,3,284.52,8421,0,8.0,0,1,0,0,0,1,0,1,1,0
3,34.0,9.0,35611.71,4,6,2,0.0,10,10.0,8.06,3.0,1092.47,26.42,1,0.0,93.26,2,482.31,11323,1,24.0,1,0,0,0,0,0,0,0,0,0
1,40.0,14.0,14210.27,9,6,19,5.0,56,19.0,26.35,13.0,4975.63,27.93,2,51.08,81.18,3,256.46,6057,0,6.0,0,1,1,0,1,0,0,1,1,0
3,35.0,15.0,31902.65,5,6,9,1.0,27,18.0,7.87,8.0,413.34,30.57,1,18.29,43.46,1,447.3,11461,0,22.0,0,0,0,0,1,0,0,0,0,0
3,41.0,7.0,70847.52,8,9,20,7.0,45,0.0,26.51,16.0,4143.68,26.96,2,227.19,415.46,6,211.15,2748,0,1.0,0,1,1,0,0,0,1,1,0,1
4,44.0,4.0,30710.59,0,7,2452,1.0,11,11.0,0.76,5.0,1211.61,23.3,1,325.07,147.64,5,390.78,8273,1,19.0,0,0,0,0,0,0,1,0,0,0
2,23.0,13.0,20434.15,7,6,8,4.0,8,0.0,10.6,,1393.23,38.69,1,61.45,70.36,2,287.67,11492,0,17.0,0,0,0,0,1,1,0,0,0,1
1,32.0,8.0,106949.49,3,5,1,0.0,22,9.0,10.04,1.0,869.45,29.42,1,0.0,0.0,2,1011.33,8305,1,16.0,1,0,0,0,0,0,0,0,0,0
2,32.0,6.0,19506.72,10,6,16,7.0,38,16.0,17.72,9.0,4850.57,32.45,2,111.88,102.52,3,206.16,7097,0,13.0,0,0,0,1,1,1,0,1,1,1
4,55.0,4.0,43008.33,5,4,4,3.0,22,3.0,6.9,5.0,93.93,24.99,1,72.12,232.11,3,288.97,10057,1,23.0,0,0,0,0,1,0,0,0,1,0
4,24.0,9.0,31115.76,6,6,12,3.0,30,12.0,10.12,7.0,955.8,25.99,0,46.59,139.64,6,356.07,7488,0,30.0,0,0,0,0,0,1,0,1,0,0
4,36.0,1.0,41310.18,3,3,10,0.0,13,12.0,8.33,4.0,327.22,33.9,1,0.0,93.02,2,483.93,9319,1,17.0,1,0,0,0,0,0,0,0,0,0
4,48.0,4.0,143883.28,4,3,4,4.0,27,8.0,3.56,6.0,354.41,35.34,1,398.5,539.04,3,535.59,8860,1,25.0,0,1,1,1,0,0,0,0,0,0
4,30.0,11.0,130173.93,1,4,7,4.0,7,9.0,0.85,1.0,697.41,29.71,1,239.04,760.66,5,350.68,7714,1,17.0,0,0,0,1,0,0,1,0,0,0
4,50.0,1.0,11176.27,7,3,20,4.0,5,16.0,6.48,4.0,374.7,38.41,1,19.38,47.44,6,291.21,6606,0,19.0,0,1,1,0,1,0,0,0,1,0
1,42.0,12.0,33978.57,5,5,6,3.0,34,12.0,19.98,7.0,1082.25,24.46,2,60.07,82.3,4,396.19,1159,0,16.0,0,0,0,0,0,1,1,0,1,0
1,44.0,14.0,8787.9,8,5,18,5.0,8,20.0,13.13,9.0,234.47,34.48,2,23.83,53.5,6,261.81,8337,0,14.0,0,0,1,1,1,0,0,0,0,1
1,24.0,7.0,17223.88,3,5,16,4.0,6,15.0,11.57,13.0,637.5,33.0,2,120.76,54.98,3,337.48,7228,0,8.0,0,0,0,0,0,1,0,1,0,0
4,56.0,8.0,70797.84,7,6,4,1.0,19,9.0,0.78,6.0,558.26,34.76,1,45.11,146.9,3,645.88,10669,1,16.0,0,0,0,0,0,1,0,0,0,0
3,44.0,13.0,7854.74,8,8,20,7.0,48,22.0,6.31,15.0,1516.73,38.24,2,28.64,20.12,5,301.1,11050,0,15.0,0,0,1,1,0,0,0,1,1,1
4,53.0,13.0,34269.74,4,6,3,4.0,8,10.0,3.31,6.0,609.77,26.18,1,108.17,90.32,2,346.59,7666,1,22.0,0,1,1,1,0,1,0,0,0,0
2,56.0,15.0,41810.62,4,7,7,2.0,5,14.0,10.47,3.0,1219.91,33.51,1,64.2,154.94,2,407.38,7649,0,16.0,0,0,0,0,0,0,0,0,1,0
4,54.0,9.0,65448.14,3,3,10,3.0,26,8.0,0.66,8.0,391.31,23.92,1,96.76,146.56,3,539.29,1248,1,25.0,0,0,0,1,0,0,1,0,0,0
3,38.0,5.0,44968.15,1,5,2,0.0,12,11.0,4.22,6.0,871.85,31.22,1,27791.0,40.56,2,562.28,8629,1,16.0,1,0,0,0,0,0,0,0,0,0
4,40.0,1.0,32777.51,5,4,1,3.0,5,6.0,4.22,5.0,653.37,37.06,0,64.98,257.69,6,237.48,5163,1,26.0,0,0,0,0,0,1,0,0,1,1
4,30.0,5.0,17538.28,8,5,32,7.0,46,19.0,16.49,12.0,3649.96,26.47,2,95.22,121.4,6,204.13,11108,0,4.0,0,1,0,1,0,1,1,0,0,1
3,27.0,3.0,48537.12,9,5,23,7.0,54,20.0,6.39,13.0,3401.55,31.4,2,255.52,123.29,2,252.27,3806,0,10.0,0,0,1,1,1,0,0,1,0,0
3,51.0,7.0,84031.02,5,3,1,0.0,7,9.0,8.48,3.0,1325.84,41.77,1,0.0,223.27,2,728.89,795,1,26.0,1,0,0,0,0,0,0,0,0,0
2,33.0,14.0,44927.86,4,6,6,3.0,7,8.0,5.55,0.0,762.62,29.81,1,102.19,118.7,3,407.91,3690,1,21.0,0,0,0,1,0,0,1,0,1,0
1,33.0,10.0,101342.2,2,3,14,2.0,13,18.0,14.46,9.0,828.02,36.66,2,114.33,577.03,5,433.06,3975,0,7.0,0,0,0,0,0,1,0,1,0,0
2,22.0,9.0,18145.22,4,3,10,1.0,3,9.0,4.36,2.0,1154.49,38.81,1,12.84,71.91,5,341.16,7089,1,16.0,0,0,0,0,1,0,0,0,0,0
3,37.0,2.0,80247.24,7,6,21,4.0,17,19.0,12.7,12.0,1266.03,25.36,2,164.45,,5,330.07,5566,0,19.0,0,0,0,0,0,0,1,1,0,0
2,27.0,1.0,99657.51,7,3,8,4.0,14,17.0,19.24,4.0,113.12,38.95,2,307.53,282.77,5,506.19,5207,0,27.0,0,0,0,0,1,1,1,1,0,0
2,42.0,15.0,76440.52,0,4,9,2.0,9,3.0,10.85,4.0,998.47,26.16,1,96.75,78.26,1,729.69,11776,1,20.0,0,0,0,0,0,1,0,0,0,1
2,28.0,15.0,9615.09,8,6,13,2.0,12,18.0,5.78,6.0,520.99,27.08,2,9.61,51.84,4,269.58,7936,0,23.0,0,0,0,1,0,0,0,0,0,1
4,50.0,2.0,28446.58,3,5,5,4.0,2,8.0,0.12,4.0,640.4,31.66,1,66.06,258.74,6,224.95,645,1,27.0,0,0,0,1,0,0,1,0,1,0
4,20.0,7.0,52104.0,9,6,27,9.0,55,0.0,18.75,9.0,4598.96,23.1,2,308.76,239.08,4,173.06,5604,0,6.0,0,1,0,1,0,1,1,1,1,0
4,47.0,15.0,95460.81,2,5,5,3.0,8,5.0,3.46,7.0,184.44,28.18,1,201.51,124.43,1,712.97,6947,1,28.0,0,0,0,0,0,1,0,0,1,0
1,33.0,5.0,133057.89,5,7,8,4.0,11,3.0,3.76,3.0,1344.45,32.97,1,80268.0,196.19,1,769.98,1569,1,22.0,0,0,1,0,1,1,0,1,0,0
4,22.0,6.0,84408.16,4,5,18,3.0,25,9.0,13.29,8.0,645.83,28.07,2,174.8,158.59,1,627.72,3468,0,8.0,0,0,1,0,0,0,0,1,0,1
4,26.0,5.0,30789.35,5,4,7,4.0,5,5.0,5.72,6.0,1106.11,28.31,1,73.87,316.62,6,173.39,5444,1,20.0,0,1,0,0,1,0,1,0,1,0
1,36.0,7.0,41544.52,4,3,6,2.0,30,16.0,14.75,11.0,2434.12,38.14,2,65.99,259.22,6,298.5,10447,0,6.0,0,0,0,1,0,0,0,0,1,0
4,27.0,13.0,19827.36,8,7,17,1.0,19,10.0,9.96,6.0,282.29,33.38,0,15.04,131.06,4,270.83,11204,0,23.0,0,1,0,0,0,0,0,0,0,0
3,46.0,6.0,32146.13,0,7,12,1.0,11,14.0,3.58,6.0,65.89,36.76,1,305.27,63.48,2,431.66,2790,1,29.0,0,0,0,0,0,0,0,0,1,0
3,35.0,9.0,19294.46,10,5,22,8.0,45,19.0,-1.94,9.0,2233.25,37.91,2,86.27,74.06,6,268.96,5306,0,19.0,0,1,1,0,1,1,1,0,1,0
2,41.0,6.0,87481.62,0,4,3,1.0,15,6.0,1.45,6.0,214.43,40.14,1,55.65,315.04,3,591.52,921,1,24.0,0,0,1,0,0,0,0,0,0,0
1,26.0,14.0,34902.43,7,3,6,3.0,26,9.0,14.74,6.0,241.38,37.93,2,44.14,48.7,2,470.01,2868,0,21.0,0,1,1,0,1,0,0,0,0,0
4,24.0,12.0,64996.98,3,5,12,2.0,26,12.0,19.69,6.0,340.81,37.55,2,97.54,220.4,2,453.6,4221,0,32.0,0,1,0,0,0,0,1,0,0,0
4,40.0,11.0,46360.47,10,5,34,5.0,50,16.0,16.71,11.0,4855.15,24.4,2,156.24,70.49,3,413.41,10686,0,6.0,0,0,1,0,1,0,1,0,0,0
1,28.0,10.0,74142.96,0,2,12,3.0,11,0.0,2.45,4.0,954.72,32.84,1,164.89,84.43,1,581.64,3245,1,25.0,0,0,0,1,1,0,0,0,1,0
4,28.0,14.0,63484.24,5,7,10,2.0,26,10.0,11.12,6.0,295.16,26.33,1,68.14,187.37,2,510.22,6494,1,28.0,0,0,0,1,0,0,0,1,0,0
2,36.0,8.0,36729.93,2,1,12,0.0,3,11.0,6.64,4.0,921.03,38.04,0,0.0,93.2,2,470.39,3314,1,28.0,1,0,0,0,0,0,0,0,0,0
3,27.0,3.0,73802.24,8,10,17,8.0,47,18.0,16.61,7.0,3626.94,34.02,2,487.3,94.94,2,264.88,4638,0,6.0,0,0,1,1,1,1,1,1,0,0
2,36.0,1.0,57196.56,6,3,17,3.0,12,12.0,7.53,4.0,1269.7,31.88,2,74.3,110.83,1,538.7,1287,0,19.0,0,0,1,0,1,0,1,0,0,0
4,42.0,2.0,18823.32,8,5,16,8.0,29,24.0,4.87,10.0,2643.36,34.46,2,103.1,10.49,1,268.78,5620,0,6.0,0,0,1,0,0,1,1,1,0,0
4,26.0,11.0,141952.76,7,4,16,1.0,29,0.0,11.48,5.0,1498.17,37.33,2,109.76,734.64,5,608.24,7168,0,29.0,0,0,0,0,0,1,0,0,0,0
2,23.0,10.0,22157.27,6,6,19,4.0,30,8.0,14.37,,1345.58,26.34,0,64.04,64.89,3,314.51,11523,0,12.0,0,0,0,1,0,1,0,0,1,1
3,21.0,4.0,175718.04,4,4,2,1.0,30,11.0,11.62,3.0,444.46,39.51,1,145.95,1039.52,5,557.35,2383,1,17.0,0,0,0,0,0,1,0,0,0,0
4,47.0,10.0,18681.46,2,3,9,2.0,6,8.0,3.9,3.0,327.88,26.21,1,24.82,184.44,6,239.22,73,1,31.0,0,0,0,0,1,0,0,0,0,1
3,33.0,13.0,19795.52,7,10,34,8.0,15,21.0,22.79,15.0,3135.02,30.56,0,130.48,106.04,6,219.75,118,0,3.0,0,0,0,0,1,1,1,1,1,1
1,22.0,10.0,49949.84,5,6,18,3.0,26,12.0,1.24,4.0,1465.06,28.41,0,122.54,119.7,2,408.01,8843,0,16.0,0,0,0,1,0,0,0,1,1,0
2,19.0,1.0,73732.4,9,10,30,9.0,31,16.0,8.14,12.0,2186.49,24.03,2,526.0,364.74,5,,10607,0,8.0,0,1,1,0,1,1,1,1,1,0
3,34.0,14.0,10426.61,5,4,4865,1.0,29,9.0,11.35,6.0,656.86,29.65,2,5.99,34.02,2,295.27,4780,0,31.0,0,1,0,0,0,0,0,0,0,0
1,41.0,14.0,15723.7,7,3,6,4.0,8,11.0,5.68,3.0,632.13,35.64,1,29.31,32.1,3,317.71,2781,0,20.0,0,1,1,0,0,1,0,0,1,0
2,31.0,2.0,28993.75,2,4,12,1.0,9,0.0,5.74,0.0,822.72,37.9,1,18.35,225.59,6,291.97,3395,1,20.0,0,0,0,0,0,0,0,0,1,0
1,29.0,6.0,55384.41,6,8,34,8.0,56,26.0,24.26,8.0,4151.04,37.68,2,205.49,99.81,1,417.24,5409,0,10.0,0,1,1,0,1,0,1,0,0,0
1,43.0,8.0,12931.56,4,4,9,3.0,19,21.0,13.51,3.0,752.86,38.45,2,20.58,90.51,5,303.77,5018,0,21.0,0,0,0,1,1,0,1,0,0,0
3,27.0,1.0,14406.71,6,7,32,7.0,62,21.0,1.61,14.0,1286.9,27.76,2,53.55,59.29,3,270.81,1740,0,17.0,0,0,1,1,0,1,1,0,1,1
3,43.0,7.0,19852.09,10,8,34,7.0,20,17.0,17.6,12.0,3176.77,24.72,2,93.69,47.85,5,303.89,12280,0,9.0,0,1,0,0,1,1,0,0,0,1
1,36.0,15.0,75306.68,2,4,6,3.0,3,1.0,1.43,4.0,103.22,33.01,1,158.61,814.7,6,,6151,1,31.0,0,0,0,1,0,0,0,0,0,0
2,24.0,2.0,99663.0,5,3,7,4.0,13,-2.0,9.5,4.0,96.62,34.77,1,293.32,381.92,4,449.88,2631,1,21.0,0,0,0,1,0,1,0,1,1,0
3,28.0,14.0,62139.51,6,10,26,8.0,59,20.0,24.24,9.0,2603.85,29.34,2,342.23,251.45,6,205.25,447,0,8.0,0,1,0,1,1,1,0,1,1,0
2,27.0,5.0,21613.57,4,7,18,7.0,21,11.0,18.42,10.0,878.38,33.55,2,99.97,211.56,6,150.08,4550,0,14.0,0,0,0,1,1,0,1,1,1,1
1,21.0,7.0,101399.13,1,3,2,2.0,17,6.0,3.97,5.0,1061.06,26.9,1,132.67,310.37,2,660.54,9403,1,25.0,0,0,0,0,0,1,0,0,1,0
2,22.0,7.0,14795.73,6,6,16,814.0,58,20.0,12.53,10.0,3124.43,25.64,2,63.74,81.86,6,245.6,2029,0,8.0,0,1,0,1,0,1,1,1,0,1
1,30.0,7.0,10439.97,9,5,15,9.0,19,0.0,18.21,8.0,4473.82,23.43,0,65.67,41.28,3,263.45,8798,0,9.0,0,1,1,0,1,1,1,1,1,0
2,27.0,7.0,32012.57,4,7,20,1.0,25,16.0,13.81,5.0,87.33,39.83,0,19.87,174.61,5,347.88,2396,0,33.0,0,0,0,0,0,0,0,0,1,0
4,27.0,2.0,103136.76,0,6,12,0.0,8,10.0,6.32,4.0,330.98,32.46,1,0.0,169.79,2,941.59,8033,1,26.0,1,0,0,0,0,0,0,0,0,0
1,30.0,15.0,10622.48,6,4,8,4.0,21,13.0,9.31,1187.0,1335.49,29.02,0,20.08,86.31,6,255.83,9253,0,16.0,0,0,0,0,1,0,0,0,1,0
4,24.0,1.0,27138.97,6,4,8,4.0,7,20.0,8.01,9.0,1190.67,27.02,2,70.78,179.64,6,284.94,8421,0,8.0,0,1,0,0,0,1,0,1,1,0
4,46.0,11.0,25462.29,8,6,17,7.0,26,17.0,8.78,7.0,1189.3,27.26,0,13094.0,0.0,6,334.15,12235,0,6.0,0,0,0,1,0,0,1,0,1,1
1,45.0,2.0,44620.44,0,5,12,2.0,4,11.0,4.57,,286.9,26.14,1,50.79,53.57,1,485.28,8948,1,26.0,0,0,0,0,0,0,1,0,0,0
1,30.0,12.0,173196.32,4,7,9,1.0,7,5.0,13.06,4.0,967.23,43.24,1,107.81,546.75,2,1021.24,217,1,29.0,0,0,0,0,1,0,0,0,0,0
2,55.0,2.0,22283.07,4,4,17,3.0,24,17.0,11.56,2.0,160.38,30.74,2,52.14,40.92,2,350.34,8119,0,22.0,0,0,0,1,0,1,0,0,0,1
1,37.0,6.0,17394.32,8,4,14,1.0,14,18.0,6.13,2.0,1498.41,23.56,1,13.03,99.32,6,301.4,5707,0,30.0,0,1,0,0,0,0,0,0,0,0
4,25.0,6.0,60189.06,10,8,30,5.0,52,16.0,27.13,16.0,4159.96,32.66,2,221.02,177.28,2,365.57,3566,0,13.0,0,1,0,1,0,0,1,1,1,0
3,37.0,4.0,10186.2,7,10,18,8.0,40,16.0,23.03,10.0,3455.06,35.95,2,37.15,16.5,1,271.03,4276,0,2.0,0,0,0,0,1,0,0,1,0,1
2,43.0,9.0,19331.53,6,7,27,2.0,44,14.0,15.47,8.0,1268.03,36.76,2,21.28,121.83,6,288.68,4325,0,8.0,0,0,1,0,0,1,0,0,0,0
2,34.0,11.0,19807.54,0,3,10,3.0,6,8.0,8.94,1.0,1286.59,33.67,1,38.3,257.07,6,188.89,11194,1,22.0,0,0,0,0,1,0,0,0,1,1
3,31.0,10.0,77561.64,7,4,16,4.0,24,17.0,10.36,7.0,680.25,29.87,1,141.76,247.48,5,551.2,4151,0,18.0,0,0,0,0,1,0,0,1,1,1
2,32.0,15.0,126284.31,1,5,8,0.0,8,5.0,3.09,6.0,936.59,28.76,1,0.0,926.13,5,425.74,12433,1,16.0,1,0,0,0,0,0,0,0,0,0
3,20.0,5.0,121698.48,3,3,20,6.0,13,13.0,10.67,9.0,1203.86,29.45,2,559.52,209.76,2,469.97,7754,0,8.0,0,1,0,0,1,1,1,0,1,0
2,41.0,2.0,13351.83,6,3,13,2.0,13,14.0,19.48,2.0,303.84,24.41,2,13.91,64.76,5,326.99,4063,0,23.0,0,1,0,0,0,0,0,1,0,0
4,19.0,13.0,77854.26,3,4,11,2.0,5,13.0,1.3,3.0,1220.31,33.5,1,92.71,508.9,4,309.58,552,1,22.0,0,0,0,0,0,0,0,0,1,1
4,31.0,6.0,14542.3,6,9,22,6.0,28,18.0,15.22,13.0,4479.0,23.71,2,63.11,,6,176.47,7876,0,1.0,0,1,0,0,0,0,1,1,0,1
4,50.0,14.0,127430.52,4,5,2,0.0,5,2492.0,9.24,2.0,1039.71,41.84,0,0.0,993.72,6,383.3,5369,1,25.0,1,0,0,0,0,0,0,0,0,0
3,37.0,15.0,21313.76,0,3,2,4.0,11,0.0,10.96,1.0,730.84,30.51,1,69.39,33.12,2,306.51,1429,1,24.0,0,0,1,1,0,0,1,0,1,0
1,41.0,10.0,19250.71,8,5,19,2.0,15,13.0,19.3,17.0,2323.93,26.1,2,18.39,153.38,6,279.25,10698,0,10.0,0,0,0,0,0,1,0,1,0,0
1,36.0,4.0,7681.49,9,6,28,6.0,18,24.0,27.56,9.0,2678.79,29.03,2,31.62,20.71,4,303.19,1765,0,14.0,0,0,1,1,1,1,0,0,0,1
3,33.0,1.0,48276.66,6,7,9,4.0,25,20.0,5.91,3.0,945.79,38.87,1,252.8,0.0,6,101.04,8519,0,29.0,0,0,0,0,1,1,1,0,0,0
2,34.0,5.0,95287.17,1,6,12,3.0,14,6.0,3.98,7.0,815.62,37.54,0,236.76,135.01,2,685.79,3348,1,30.0,0,0,1,0,1,0,1,0,0,0
1,38.0,11.0,12070.84,8,5,8,4.0,17,12.0,2.96,4.0,759.86,39.58,2,31.35,52.03,6,315.51,284,0,28.0,0,0,0,0,1,0,0,1,0,1
4,20.0,2.0,89388.72,4,6,6,1.0,6,5.0,3.55,3.0,1030.1,41.69,1,64.35,194.68,2,760.47,914,1,32.0,0,0,0,0,0,0,0,0,0,1
4,22.0,15.0,17515.75,7,9,27,6.0,59,20.0,11.09,7.0,3842.22,26.01,2,80.76,69.31,3,279.92,9398,0,8.0,0,0,0,1,0,0,1,0,1,1
3,33.0,13.0,178328.88,4,3,7,0.0,0,8.0,7.55,5.0,708.22,45.0,1,0.0,360.18,4,1386.99,4135,1,16.0,1,0,0,0,0,0,0,0,0,0
3,32.0,1.0,106790.32,3,3,6,3.0,29,15.0,2.17,9.0,678.54,26.45,2,147.48,0.0,5,765.43,8412,0,26.0,0,0,1,0,1,1,0,0,0,0
2,30.0,7.0,10439.97,9,5,15,9.0,19,25.0,18.21,8.0,4473.82,28.57,2,65.67,117.63,6,217.09,8798,0,9.0,0,1,1,0,1,1,1,1,1,0
3,39.0,8.0,95329.23,4,1,8,1.0,13,1.0,5.74,,832.55,34.68,1,78.2,266.22,2,691.89,3542,1,30.0,0,0,0,0,0,0,0,0,1,0
1,32.0,10.0,16799.32,10,9,33,6.0,21,16.0,25.87,11.0,4014.35,30.56,2,73.97,80.25,6,257.47,11436,0,6.0,0,0,0,1,0,1,1,0,0,0
